Duration (in seconds),Q2,Q7,Q8,Q9,Q10,Q11,Q12,Q13_1,Q13_2,Q13_3,Q33_17,Q33_18,Q33_19,Q33_20,Q33_21,Q33_22,Q33_23,Q33_24,Q33_25,Q33_26,Q33_27,Q33_28,Q33_29,Q33_30,Q15,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_7_TEXT,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q18_6_TEXT,Q20_1,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q22,Q23,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_6,Q24_7,Q24_8,Q24_9,Q24_10,Q24_11,Q24_12,Q24_13,Q24_14,Q24_15,Q25,Q26,Q27_1,Q28,Q29_5,Q29_6,Q30_4,Q30_5,Q30_6,Q30_7,Q30_8,Q30_9,Q30_10,Q30_11,Q30_12,Q30_13,Q30_14,Q31,opp,gc,term,rid,RISN,V,LS,SVID,transaction_id,PS,Q_BallotBoxStuffing,Q_TotalDuration,Q_CHL,psid,entrySigCheck,race
204,Mississippi,,Jackson,,Shrimp,Crawfish,Shrimp,Agree,Agree,Agree,Pecans,,,,,,,,,,,,,,"Yes, I had heard of Alpha-gal syndrome.",,News/Media,,,,Friends or Family,,,Somewhat Concerned,Using insect repellent when outdoors,Wearing long sleeves and pants when in wooded or grassy areas,Checking for ticks after spending time outdoors,,,,,5,Neutral,Trust,Trust,Trust,Distrust,Distrust,55 - 64,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$90,000 - $99,999",3,Protestant,154,48,"Supercenter and wholesale (e.g. Walmart, Costco)",,,,Discount store (e.g. Dollar Store; Aldi),,Farmers market,,,,"Bakery, deli, meal or fish market (gourmet or ethnic)","Supercenter and wholesale (e.g. Walmart, Costco)",Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,2qJkmOVptgZ0W5LMKxS6O3,29,,204,anonymous,Value will be set from Panel or URL,on,White
284,Mississippi,,Harrison,,Corn,Soy beans,None,Neutral,Neutral,Neutral,,,,,,,,,,,,,,None of the above,"No, I have never heard of this before.",,,,,,,Other (Please Specify),"None,",Neutral,,,,Avoiding areas known for a high presence of Lone Star ticks,,,,3,Trust,Strongly Trust,Trust,Trust,Distrust,Strongly Distrust,65 - 74,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$70,000 - $79,999",1,Not religious,103,21,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,,,,,,,,,"Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,7HlPhQlO2LFYmxo30IqfZh,29,,284,anonymous,Value will be set from Panel or URL,on,White
358,Missouri,,,,Wheat,"Soy Beans, Corn",Corn,Disagree,Disagree,Disagree,,Blackberries,,,,,,Mushrooms,,"Wild Greens (including dandelion greens, sorrel, and lamb's quarters, etc)",,,,,"No, I have never heard of this before.",,,"Educational Institutions (Schools, Colleges, etc.)",,,,,,Neutral,,,,Avoiding areas known for a high presence of Lone Star ticks,,,,0,Neutral,Trust,Trust,Neutral,Neutral,Strongly Distrust,65 - 74,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$20,000 - $29,999",1,Protestant,29,11,,"Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,,,,Farmers market,,,,,"Smaller format grocery store (e.g. independent grocery store, food co-op, Trader Joe's)",Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,1x0K39LaojccOrX8q9S7mt,29,,358,anonymous,Value will be set from Panel or URL,on,White
222,Arkansas,,,,Watermelons,Tomatoes ,All,Strongly Agree,Agree,Neutral,Pecans,Blackberries,,,,,,,,,,,,,"No, but I had heard about a tick bite that makes you allergic to red meat.",,,,Social Media,,,,,Somewhat Concerned,Using insect repellent when outdoors,Wearing long sleeves and pants when in wooded or grassy areas,,Avoiding areas known for a high presence of Lone Star ticks,,,,0,Strongly Distrust,Neutral,Neutral,Trust,Distrust,Distrust,35 - 44,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$30,000 - $39,999",2,None of the above or other,101,30,"Supercenter and wholesale (e.g. Walmart, Costco)",,,,,,,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)",Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,2TDf5NbZVyyAtB9aW8Hf2b,29,,222,anonymous,Value will be set from Panel or URL,on,White
205,Arkansas,,,,Eggs,Pizza,Milk,Neutral,Neutral,Neutral,,,,Muscadine Grapes,,,Persimmons,,,,,,,None of the above,"No, but I had heard about a tick bite that makes you allergic to red meat.",,,,,,Friends or Family,,,Not Concerned at all,Using insect repellent when outdoors,,,,,,,4,Strongly Distrust,Strongly Distrust,Neutral,Strongly Trust,Neutral,Trust,18 - 24,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","Less than $10,000",1,Not religious,25,117,"Supercenter and wholesale (e.g. Walmart, Costco)",,,,,,,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)",Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,75eBw8qxOcE3r7zwPzAd3Z,29,,205,anonymous,Value will be set from Panel or URL,on,White
131,Tennessee,,,Sumner,tomato,cotton,tomato,Agree,Agree,Agree,Pecans,Blackberries,,,,,,,,,,,,,"No, I have never heard of this before.",,,,Social Media,,,,,Not Very Concerned,,,Checking for ticks after spending time outdoors,,,,,1,Trust,Strongly Trust,Trust,Trust,Neutral,Distrust,55 - 64,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$50,000 - $59,999",2,Protestant,80,45,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,,,,,,,,,"Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,1O5BknYFq1QXsyFInUqAi1,29,,131,anonymous,Value will be set from Panel or URL,on,White
354,Missouri,,,,"corn, soy beans, rice, sweet potatoes",rice,peanuts,Agree,Agree,Neutral,Pecans,,,,,,,,,,,,,,"Yes, I had heard of Alpha-gal syndrome.",,News/Media,,Social Media,,,,,Not Very Concerned,Using insect repellent when outdoors,Wearing long sleeves and pants when in wooded or grassy areas,Checking for ticks after spending time outdoors,,,,,3,Distrust,Trust,Neutral,Trust,Neutral,Neutral,65 - 74,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$30,000 - $39,999",2,Protestant,102,25,"Supercenter and wholesale (e.g. Walmart, Costco)",,,,Discount store (e.g. Dollar Store; Aldi),,,,,,,Discount store (e.g. Dollar Store; Aldi),Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,3KL5y8WhTR5rxvj1mOwIbQ,29,,354,anonymous,Value will be set from Panel or URL,on,White
494,Tennessee,,,Fentress,Corn and potatoes ,Corn,Potatoes ,Agree,Agree,Agree,Pecans,Blackberries,,,,,,Mushrooms,,,,,,,"Yes, I had heard of Alpha-gal syndrome.",,,,Social Media,,,,,Not Very Concerned,,,Checking for ticks after spending time outdoors,Avoiding areas known for a high presence of Lone Star ticks,,,,6,Trust,Trust,Trust,Trust,Neutral,Distrust,35 - 44,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$40,000 - $49,999",3,Atheist/Agnostic,151,40,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,,Discount store (e.g. Dollar Store; Aldi),,,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)",Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,7tJMm5WCaJJQohLblbUD8k,29,,494,anonymous,Value will be set from Panel or URL,on,White
650,Tennessee,,,Davidson,"strawberries, blueberries, apples, tomatoes",I don't know- didn't realize TN was associated with this region- I live in Middle TN and am not a native so I don't know what is grown west of here.,"oranges, grapefruit",Disagree,Disagree,Disagree,,,,,,,,,,,,,,None of the above,"No, I have never heard of this before.",,,,,,,Other (Please Specify),this survey is the first I'm hearing of this,Not Concerned at all,,,,,,Other (Please Specify),"I don't take prevention over things I just found out about but I guess if I were in an area where any kind of tics were in high population, I would use repellant and wear long pants and sleeves",4,Neutral,Neutral,Distrust,Trust,Strongly Distrust,Strongly Distrust,45 - 54,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$10,000 - $19,999",1,Protestant,20,0,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,"Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)",Discount store (e.g. Dollar Store; Aldi),,,,,,,Discount store (e.g. Dollar Store; Aldi),Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,2F4NTpVIcticXqPKKDLPa5,29,,650,anonymous,Value will be set from Panel or URL,on,White
1740,Missouri,,,,Corn ,No idew,Watermelon ,Strongly Agree,Neutral,Agree,,,,Muscadine Grapes,,,,,,,,,,,"No, but I had heard about a tick bite that makes you allergic to red meat.",,,"Educational Institutions (Schools, Colleges, etc.)",,,,,,Very Concerned,,,,,Seeking medical advice or consultation about prevention,,,6,Distrust,Neutral,Neutral,Distrust,Distrust,Trust,35 - 44,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$10,000 - $19,999",7,None of the above or other,113,134,,,,"Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)",,,,,,,,"Health/natural supermarket (e.g. Whole Foods, Natural Grocers)",Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,2IWmHpIJbURVLoMT4K6god,29,,1740,anonymous,Value will be set from Panel or URL,on,White
