Duration (in seconds),LocationLatitude,LocationLongitude,Q2,Q7,Q8,Q9,Q10,Q11,Q12,Q13_1,Q13_2,Q13_3,Q33,Q15,Q16,Q16_7_TEXT,Q17,Q18,Q18_6_TEXT,Q20_1,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q22,Q23,Q24,Q25,Q26,Q27_1,Q28,Q29_5,Q29_6,Q30,Q31,opp,gc,term,rid,RISN,V,LS,SVID,transaction_id,PS,Q_BallotBoxStuffing,Q_TotalDuration,Q_CHL,psid,entrySigCheck,race
204,30.4404,-88.7801,6,,30,,Shrimp,Crawfish,Shrimp,4,4,4,17,1,"2,6",,2,"1,2,3",,5,3,4,4,4,2,2,6,2,1,1,10,3,1,154,48,"4,8,10,14",4,Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,2qJkmOVptgZ0W5LMKxS6O3,29,,204,anonymous,Value will be set from Panel or URL,on,White
284,30.4004,-88.9577,6,,24,,Corn,Soy beans,None,3,3,3,30,3,7,"None,",3,4,,3,4,5,4,4,2,1,7,1,1,1,8,1,10,103,21,"4,5",5,Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,7HlPhQlO2LFYmxo30IqfZh,29,,284,anonymous,Value will be set from Panel or URL,on,White
358,39.1484,-94.5686,7,,,,Wheat,"Soy Beans, Corn",Corn,2,2,2,"18,24,26",3,3,,3,4,,0,3,4,4,3,3,1,7,2,1,1,3,1,1,29,11,"5,10",9,Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,1x0K39LaojccOrX8q9S7mt,29,,358,anonymous,Value will be set from Panel or URL,on,White
222,33.6791,-94.1325,2,,,,Watermelons,Tomatoes ,All,5,4,3,"17,18",2,4,,2,"1,2,4",,0,1,3,3,4,2,2,4,1,1,1,4,2,9,101,30,4,4,Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,2TDf5NbZVyyAtB9aW8Hf2b,29,,222,anonymous,Value will be set from Panel or URL,on,White
205,36.3312,-92.3753,2,,,,Eggs,Pizza,Milk,3,3,3,"20,23,30",2,6,,5,1,,4,1,1,3,5,3,4,2,2,1,1,1,1,10,25,117,4,4,Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,75eBw8qxOcE3r7zwPzAd3Z,29,,205,anonymous,Value will be set from Panel or URL,on,White
131,36.3066,-86.6101,8,,,83,tomato,cotton,tomato,4,4,4,"17,18",3,4,,4,3,,1,4,5,4,4,3,2,6,1,1,1,6,2,1,80,45,"4,5",5,Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,1O5BknYFq1QXsyFInUqAi1,29,,131,anonymous,Value will be set from Panel or URL,on,White
354,36.0508,-90.2236,7,,,,"corn, soy beans, rice, sweet potatoes",rice,peanuts,4,4,3,17,1,"2,4",,4,"1,2,3",,3,2,4,3,4,3,3,7,1,1,1,4,2,1,102,25,"4,8",8,Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,3KL5y8WhTR5rxvj1mOwIbQ,29,,354,anonymous,Value will be set from Panel or URL,on,White
494,36.4215,-84.9384,8,,,25,Corn and potatoes ,Corn,Potatoes ,4,4,4,"17,18,24",1,4,,4,"3,4",,6,4,4,4,4,3,2,4,2,1,1,5,3,8,151,40,"4,5,8",4,Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,7tJMm5WCaJJQohLblbUD8k,29,,494,anonymous,Value will be set from Panel or URL,on,White
650,36.1868,-86.5067,8,,,19,"strawberries, blueberries, apples, tomatoes",I don't know- didn't realize TN was associated with this region- I live in Middle TN and am not a native so I don't know what is grown west of here.,"oranges, grapefruit",2,2,2,30,3,7,this survey is the first I'm hearing of this,5,6,"I don't take prevention over things I just found out about but I guess if I were in an area where any kind of tics were in high population, I would use repellant and wear long pants and sleeves",4,3,3,2,4,1,1,5,2,1,1,2,1,1,20,0,"4,5,7,8",8,Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,2F4NTpVIcticXqPKKDLPa5,29,,650,anonymous,Value will be set from Panel or URL,on,White
1740,39.7879,-94.8029,7,,,,Corn ,No idew,Watermelon ,5,3,4,20,2,3,,1,5,,6,2,3,3,2,2,4,4,2,1,1,2,7,9,113,134,7,6,Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,2IWmHpIJbURVLoMT4K6god,29,,1740,anonymous,Value will be set from Panel or URL,on,White
1022,32.7797,-96.8022,2,,,,rice,"rice, soybean and corn",cotton,5,5,5,30,3,7,this survey,3,"1,2,3,4",,10,2,2,2,4,2,3,4,2,1,1,5,2,2,250,12,"4,9,10",10,Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,7lehEty4G5Gvco3tUYDbvt,29,,1022,anonymous,Value will be set from Panel or URL,on,White
529,30.4509,-91.1563,5,28,,,"Rice, sugar",Beer,Orange ,3,3,1,"17,18",3,7,Have not heard of,3,3,,7,1,3,3,3,1,1,4,2,1,1,12,4,1,101,93,5,5,Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,1z12AJ3jLhheD50SEAchDP,29,,529,anonymous,Value will be set from Panel or URL,on,White
953,36.693,-91.3929,7,,,,"My area is overloaded with cattle ranches. The main crop is hay. There are corn producers, but that's probably for feed. Walnut harvest is popular, but those are more wild, not cultivated. I think there is more corn production in northern Missouri.","I think the flood plains are good for growing multiple types of crops, but I mostly know what small farms grow. Squash like yellow squash and zuchini are popular. Also, green beans and tomatoes. Otherwise, beef and chicken are very popular here.","I think more people should grow peas. Pea powder is very nutritious. It seems like if we can grow walnuts then we can grow other nut trees, too.",5,3,4,"18,21,26,27",1,2,,4,"1,2,3,6",I have free range chickens.,2,2,4,4,2,3,2,6,2,1,1,4,2,1,100,25,"4,8,9",9,Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,3krQfxedduDLNlSyMT39s7,29,,953,anonymous,Value will be set from Panel or URL,on,White
174,34.7528,-92.2792,2,,,,Rice,Rice,Corn,4,4,4,"17,18",3,6,,2,4,,8,2,5,5,4,1,1,8,2,1,1,11,2,1,126,21,"4,6,9",4,Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,0s1qWRBASGTVc0C13PLfgM,29,,174,anonymous,Value will be set from Panel or URL,on,White
220,36.0048,-86.7886,8,,,94,beef,chickens,seafood,4,4,2,"18,26",3,3,,4,"1,2,3",,1,2,4,4,5,1,2,5,2,1,1,11,4,4,126,100,"4,6,8,9,10",5,Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,0ovOGOzEXUfS6t25XMlYN3,29,,220,anonymous,Value will be set from Panel or URL,on,White
436,32.2754,-89.9921,6,,61,,Cotton,Watermelon ,Vegetables,4,4,4,30,3,7,None,2,4,,1,3,4,4,4,3,2,7,2,1,1,12,2,1,240,105,"4,5,10,14",10,Qual29638-0912-ConsumersStudy[BA],1,,,,,,19772504,4XHe1GXWq3b7J6mYpUno3w,29,,436,anonymous,Value will be set from Panel or URL,on,White
