Year,Period,State,County,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
2017,YEAR,MISSISSIPPI,ATTALA,COTTON,COTTON - ACRES HARVESTED,TOTAL,NOT SPECIFIED, (D),(D)
2017,YEAR,MISSISSIPPI,CARROLL,COTTON,COTTON - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"21,892",32.9
2017,YEAR,MISSISSIPPI,CHOCTAW,COTTON,COTTON - ACRES HARVESTED,TOTAL,NOT SPECIFIED, (D),(D)
2017,YEAR,MISSISSIPPI,HOLMES,COTTON,COTTON - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"43,979",32.9
2017,YEAR,MISSISSIPPI,LEAKE,COTTON,COTTON - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"1,296",32.9
2017,YEAR,MISSISSIPPI,MADISON,COTTON,COTTON - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"4,997",32.9
2017,YEAR,MISSISSIPPI,MONTGOMERY,COTTON,COTTON - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"4,967",32.9
2017,YEAR,MISSISSIPPI,RANKIN,COTTON,COTTON - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"1,840",32.9
2017,YEAR,MISSISSIPPI,SCOTT,COTTON,COTTON - ACRES HARVESTED,TOTAL,NOT SPECIFIED,960,32.9
2017,YEAR,MISSISSIPPI,WEBSTER,COTTON,COTTON - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"6,151",32.9
2017,YEAR,MISSISSIPPI,CHICKASAW,COTTON,COTTON - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"1,944",32.9
2017,YEAR,MISSISSIPPI,CLAY,COTTON,COTTON - ACRES HARVESTED,TOTAL,NOT SPECIFIED, (D),(D)
2017,YEAR,MISSISSIPPI,LOWNDES,COTTON,COTTON - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"13,325",32.9
2017,YEAR,MISSISSIPPI,MONROE,COTTON,COTTON - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"7,266",32.9
2017,YEAR,MISSISSIPPI,NOXUBEE,COTTON,COTTON - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"23,095",32.9
2017,YEAR,MISSISSIPPI,OKTIBBEHA,COTTON,COTTON - ACRES HARVESTED,TOTAL,NOT SPECIFIED, (D),(D)
2017,YEAR,MISSISSIPPI,WINSTON,COTTON,COTTON - ACRES HARVESTED,TOTAL,NOT SPECIFIED, (D),(D)
2017,YEAR,MISSISSIPPI,HUMPHREYS,COTTON,COTTON - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"21,427",32.9
2017,YEAR,MISSISSIPPI,ISSAQUENA,COTTON,COTTON - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"7,833",32.9
2017,YEAR,MISSISSIPPI,LEFLORE,COTTON,COTTON - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"43,857",32.9
2017,YEAR,MISSISSIPPI,SHARKEY,COTTON,COTTON - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"13,787",32.9
2017,YEAR,MISSISSIPPI,SUNFLOWER,COTTON,COTTON - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"20,705",32.9
2017,YEAR,MISSISSIPPI,WASHINGTON,COTTON,COTTON - ACRES HARVESTED,TOTAL,NOT SPECIFIED,"22,758",32.9
