Black,Delta,Variable,mean,sd,state,Mean_SD,,,,,,,,
0,0,personal health,4.190789474,0.696370151,NA,4.19 (0.70),,,,,Overall,All Delta,Black Non Delta,White Delta
0,0,local economy,4.092105263,0.743333524,NA,4.09 (0.74),,,,personal health,4.298,4.325,4.457,4.319
0,0,socially responsible,4.049342105,0.727262303,NA,4.05 (0.73),,,,local economy,4.187,4.233,4.244,4.237
0,0,aligned with my values,3.531353135,0.934001122,NA,3.53 (0.93),,,,socially responsible,4.066,4.048,4.173,4.044
0,0,target,NA,NA,0,NA (NA),,,,aligned with my values,3.533,3.495,3.683,3.440
1,0,personal health,4.456692913,0.573985033,NA,4.46 (0.57),,,,,,,,
1,0,local economy,4.244094488,0.698257871,NA,4.24 (0.70),,,,,,,,
1,0,socially responsible,4.173228346,0.679571389,NA,4.17 (0.68),,,,,,,,
1,0,aligned with my values,3.682539683,0.909072438,NA,3.68 (0.91),,,,,,,,
1,0,target,NA,NA,0,NA (NA),,,,,,,,
0,1,personal health,4.318766067,0.651075652,NA,4.32 (0.65),,,,,,,,
0,1,local economy,4.236503856,0.673966649,NA,4.24 (0.67),,,,,,,,
0,1,socially responsible,4.043701799,0.773692894,NA,4.04 (0.77),,,,,,,,
0,1,aligned with my values,3.439588689,0.946820962,NA,3.44 (0.95),,,,,,,,
0,1,target,NA,NA,1,NA (NA),,,,,,,,
1,1,personal health,4.352272727,0.743396565,NA,4.35 (0.74),,,,,,,,
1,1,local economy,4.215909091,0.734203198,NA,4.22 (0.73),,,,,,,,
1,1,socially responsible,4.068181818,0.739609318,NA,4.07 (0.74),,,,,,,,
1,1,aligned with my values,3.738636364,0.940705509,NA,3.74 (0.94),,,,,,,,
1,1,target,NA,NA,1,NA (NA),,,,,,,,
0,NA,personal health,4.269141531,0.673034749,NA,4.27 (0.67),,,,,,,,
0,NA,local economy,4.136890951,0.732824155,NA,4.14 (0.73),,,,,,,,
0,NA,socially responsible,4.085846868,0.714994984,NA,4.09 (0.71),,,,,,,,
0,NA,aligned with my values,3.575757576,0.928253156,NA,3.58 (0.93),,,,,,,,
0,NA,target,NA,NA,NA,NA (NA),,,,,,,,
1,NA,personal health,4.324947589,0.668362359,NA,4.32 (0.67),,,,,,,,
1,NA,local economy,4.232704403,0.684721945,NA,4.23 (0.68),,,,,,,,
1,NA,socially responsible,4.048218029,0.76681567,NA,4.05 (0.77),,,,,,,,
1,NA,aligned with my values,3.49475891,0.951819241,NA,3.49 (0.95),,,,,,,,
1,NA,target,NA,NA,NA,NA (NA),,,,,,,,
Overall,NA,personal health,4.29845815,0.670793965,NA,4.30 (0.67),,,,,,,,
Overall,NA,local economy,4.18722467,0.709186691,NA,4.19 (0.71),,,,,,,,
Overall,NA,socially responsible,4.066079295,0.742500352,NA,4.07 (0.74),,,,,,,,
Overall,NA,aligned with my values,3.533112583,0.941085903,NA,3.53 (0.94),,,,,,,,
Overall,NA,target,NA,NA,NA,NA (NA),,,,,,,,
