"","ResponseId","Q2","Q11","t2"
"1","R_2Qn66Rf2YF9MAs8","missouri","corn","corn"
"2","R_3LbzMX3EO9BSfNl","missouri","corn","corn"
"3","R_1GMMU4bh5cbScgN","arkansas","rice","rice"
"4","R_1GMMU4bh5cbScgN","arkansas","soybeans","soybeans"
"5","R_DbZK5EW9Yye8oWR","missouri","none","none"
"6","R_1Dvdn1VTNE3AMhT","mississippi","corn","corn"
"7","R_1Dvdn1VTNE3AMhT","mississippi","soybeans","soybeans"
"8","R_TemImzNtBudehwt","tennessee","none","none"
"9","R_eJyzlfQ0zIjfZPX","mississippi","none","none"
"10","R_3oMJzPc5OxPThgu","tennessee","peas","peas"
"11","R_1BRXZgsH6Z4mklM","arkansas","tomatoes","tomatoes"
"12","R_3EDRA8eBynaNQSr","tennessee","soybeans","soybeans"
"13","R_3O0myuRY3qEtlKr","arkansas","watermelon","watermelon"
"14","R_3Gyd7B490z9mXzj","tennessee","corn","corn"
"15","R_3M9BslLcxciCTD8","missouri","cotton","cotton"
"16","R_3M9BslLcxciCTD8","missouri","soybeans","soybeans"
"17","R_3M9BslLcxciCTD8","missouri","sorghum","sorghum"
"18","R_40hmiN6FX8hQ0bD","louisiana","sugarcane","sugarcane"
"19","R_e4ALAr0JpghlJ2F","missouri","beef","beef"
"20","R_e4ALAr0JpghlJ2F","missouri","soybeans","soybeans"
"21","R_1gjvyG6Jcb5S7Fa","arkansas","alligator","alligator"
"22","R_3FIFaQIcIzgkdqz","louisiana","alligator","alligator"
"23","R_2zhxQX37Fou5nZx","tennessee","none","none"
"24","R_3D5QJbA99HvGwlK","arkansas","meat","meat"
"25","R_3D5QJbA99HvGwlK","arkansas","dairy","dairy"
"26","R_3D5QJbA99HvGwlK","arkansas","fruit","fruit"
"27","R_3D5QJbA99HvGwlK","arkansas","vegetables","vegetables"
"28","R_2tsb08TSqRytPvQ","tennessee","none","none"
"29","R_3s0vipc8EhJFPY8","mississippi","watermelon","watermelon"
"30","R_vqceisBBcdxKozD","missouri","rice","rice"
"31","R_vqceisBBcdxKozD","missouri","fruit","fruit"
"32","R_vqceisBBcdxKozD","missouri","pecans","pecans"
"33","R_9uXy6yPunRIPFYd","missouri","melons","melons"
"34","R_3j7lIRLxJfcIIil","missouri","corn","corn"
"35","R_u4VvxICY4ISHbMJ","tennessee","rice","rice"
"36","R_3L1GjJYLlK9T8nx","tennessee","corn","corn"
"37","R_3L1GjJYLlK9T8nx","tennessee","soybeans","soybeans"
"38","R_9peGerbHPkh4mHf","tennessee","corn","corn"
"39","R_Rtriw9x0FvhV92V","arkansas","banana","banana"
"40","R_2WSuFIfL9zEbomB","tennessee","pumpkin","pumpkin"
"41","R_XzdfgDlIo5dm7ol","arkansas","rice","rice fish"
"42","R_XzdfgDlIo5dm7ol","arkansas","seafood","rice fish"
"43","R_3Hz6e1whEfKcnh0","arkansas","alfalfa","alfalfa"
"44","R_WCe9tsr6Pq1gs8h","arkansas","soybeans","soybeans"
"45","R_3HkyzulPXCECPXM","arkansas","beef","beef"
"46","R_3lVntJREaKFpJfM","tennessee","chicken","chicken"
"47","R_33C2dU9BYQPfuRW","louisiana","corn","corn"
"48","R_Brmx7PNJtkzJ7m9","arkansas","oranges","oranges"
"49","R_1CrR2paQIt5RKwX","tennessee","potatoes","potatoes"
"50","R_241y5giLMou8FdA","tennessee","potatoes","potatoes"
"51","R_1CvgW2cH0tJmb3M","louisiana","seafood","seafood"
"52","R_SQ1Z93yfEJ5Z2tH","louisiana","seafood","seafood sugarcane corn"
"53","R_SQ1Z93yfEJ5Z2tH","louisiana","sugarcane","seafood sugarcane corn"
"54","R_SQ1Z93yfEJ5Z2tH","louisiana","corn","seafood sugarcane corn"
"55","R_bp7HbtE0gbNkoNP","louisiana","seafood","shrimp"
"56","R_1o5OCWDLum0kRJE","missouri","soybeans","soybeans"
"57","R_Zlbz30Ta0ylrq7L","tennessee","strawberries","strawberries"
"58","R_4TkfgwyblFRPKTv","tennessee","none","none"
"59","R_32YfhUkmJ6AOIdo","tennessee","potatoes","potatoes"
"60","R_Ti621EmBIhiAvDP","missouri","rice","rice"
"61","R_3KUPcjMWl3InLHF","missouri","corn","corn"
"62","R_3KUPcjMWl3InLHF","missouri","chicken","chicken"
"63","R_2uTGYdaNlXsVefe","arkansas","none","none"
"64","R_3eeiMjLI3QW7lHA","arkansas","friedokra","friedokra"
"65","R_3eeiMjLI3QW7lHA","arkansas","friedsquash","friedsquash"
"66","R_1kYVgLEmx95i0gc","tennessee","soybeans","soybeans"
"67","R_1NafWJ2UWabVwcj","mississippi","seafood","fish"
"68","R_Uokc2z69WQuLGNj","mississippi","corn","corn"
"69","R_2Wxp7s6cd2Yps1l","louisiana","rice","rice sugarcane cotton"
"70","R_2Wxp7s6cd2Yps1l","louisiana","sugarcane","rice sugarcane cotton"
"71","R_2Wxp7s6cd2Yps1l","louisiana","cotton","rice sugarcane cotton"
"72","R_26hxFyKkuIWHoFS","arkansas","soybeans","soybeans"
"73","R_3g6ZXAakiJzHQfd","arkansas","corn","corn"
"74","R_24tH7k56GFxsEfz","mississippi","peaches","peaches"
"75","R_3PgZ2aWXGTaImBT","mississippi","cotton","cotton"
"76","R_3PgZ2aWXGTaImBT","mississippi","soybeans","soybeans"
"77","R_21bKSlDvCEMwGI8","missouri","corn","corn"
"78","R_cZKkcqz6CsFoulz","tennessee","tomatoes","tomatoes onions"
"79","R_cZKkcqz6CsFoulz","tennessee","onions","tomatoes onions"
"80","R_cZKkcqz6CsFoulz","tennessee","potatoes","potatoes"
"81","R_cZKkcqz6CsFoulz","tennessee","corn","corn"
"82","R_UACKkWTfTEatqFP","louisiana","cotton","cotton"
