"","ResponseId","Q2","Q11","t2"
"1","R_2Qn66Rf2YF9MAs8","missouri","corn","corn"
"2","R_3LbzMX3EO9BSfNl","missouri","corn","corn"
"3","R_1GMMU4bh5cbScgN","arkansas","rice","rice"
"4","R_1GMMU4bh5cbScgN","arkansas","soybeans","soybeans"
"5","R_DbZK5EW9Yye8oWR","missouri","none","none"
"6","R_1Dvdn1VTNE3AMhT","mississippi","corn","corn"
"7","R_1Dvdn1VTNE3AMhT","mississippi","soybeans","soybeans"
"8","R_22PV9i2rxPQXQ1D","arkansas","burgers","burgers"
"9","R_TemImzNtBudehwt","tennessee","none","none"
"10","R_eJyzlfQ0zIjfZPX","mississippi","none","none"
"11","R_3oMJzPc5OxPThgu","tennessee","peas","peas"
"12","R_1BRXZgsH6Z4mklM","arkansas","tomatoes","tomatoes"
"13","R_3EDRA8eBynaNQSr","tennessee","soybeans","soybeans"
"14","R_3O0myuRY3qEtlKr","arkansas","watermelon","watermelon"
"15","R_3Gyd7B490z9mXzj","tennessee","corn","corn"
"16","R_3M9BslLcxciCTD8","missouri","cotton","cotton"
"17","R_3M9BslLcxciCTD8","missouri","soybeans","soybeans"
"18","R_3M9BslLcxciCTD8","missouri","sorghum","sorghum"
"19","R_40hmiN6FX8hQ0bD","louisiana","sugarcane","sugarcane"
"20","R_e4ALAr0JpghlJ2F","missouri","beef","beef"
"21","R_e4ALAr0JpghlJ2F","missouri","soybeans","soybeans"
"22","R_1gjvyG6Jcb5S7Fa","arkansas","alligator","alligator"
"23","R_3FIFaQIcIzgkdqz","louisiana","alligator","alligator"
"24","R_2zhxQX37Fou5nZx","tennessee","none","none"
"25","R_3D5QJbA99HvGwlK","arkansas","meat","meat"
"26","R_3D5QJbA99HvGwlK","arkansas","dairy","dairy"
"27","R_3D5QJbA99HvGwlK","arkansas","fruit","fruit"
"28","R_3D5QJbA99HvGwlK","arkansas","vegetables","vegetables"
"29","R_2tsb08TSqRytPvQ","tennessee","none","none"
"30","R_1g2bqMjVuG01FYp","mississippi","cajun","cajun"
"31","R_3s0vipc8EhJFPY8","mississippi","watermelon","watermelon"
"32","R_vqceisBBcdxKozD","missouri","rice","rice"
"33","R_vqceisBBcdxKozD","missouri","fruit","fruit"
"34","R_vqceisBBcdxKozD","missouri","pecans","pecans"
"35","R_9uXy6yPunRIPFYd","missouri","melons","melons"
"36","R_2ZQ90gBoLPibG44","louisiana","mexican","mexican"
"37","R_2ZQ90gBoLPibG44","louisiana","fastfood","fastfood"
"38","R_3j7lIRLxJfcIIil","missouri","corn","corn"
"39","R_u4VvxICY4ISHbMJ","tennessee","rice","rice"
"40","R_3L1GjJYLlK9T8nx","tennessee","corn","corn"
"41","R_3L1GjJYLlK9T8nx","tennessee","soybeans","soybeans"
"42","R_9peGerbHPkh4mHf","tennessee","corn","corn"
"43","R_3j6vU5IloVUmnF8","mississippi","pizza","pizza"
"44","R_Rtriw9x0FvhV92V","arkansas","banana","banana"
"45","R_2WSuFIfL9zEbomB","tennessee","pumpkin","pumpkin"
"46","R_31RYJ5QIhndK9Vq","mississippi","burgers","burgers"
"47","R_XzdfgDlIo5dm7ol","arkansas","rice","rice fish"
"48","R_XzdfgDlIo5dm7ol","arkansas","seafood","rice fish"
"49","R_3Hz6e1whEfKcnh0","arkansas","alfalfa","alfalfa"
"50","R_WCe9tsr6Pq1gs8h","arkansas","soybeans","soybeans"
"51","R_3HkyzulPXCECPXM","arkansas","beef","beef"
"52","R_3lVntJREaKFpJfM","tennessee","chicken","chicken"
"53","R_33C2dU9BYQPfuRW","louisiana","corn","corn"
"54","R_Brmx7PNJtkzJ7m9","arkansas","oranges","oranges"
"55","R_1CrR2paQIt5RKwX","tennessee","potatoes","potatoes"
"56","R_241y5giLMou8FdA","tennessee","potatoes","potatoes"
"57","R_1CvgW2cH0tJmb3M","louisiana","seafood","seafood"
"58","R_SQ1Z93yfEJ5Z2tH","louisiana","seafood","seafood sugarcane corn"
"59","R_SQ1Z93yfEJ5Z2tH","louisiana","sugarcane","seafood sugarcane corn"
"60","R_SQ1Z93yfEJ5Z2tH","louisiana","corn","seafood sugarcane corn"
"61","R_bp7HbtE0gbNkoNP","louisiana","seafood","shrimp"
"62","R_1o5OCWDLum0kRJE","missouri","soybeans","soybeans"
"63","R_Zlbz30Ta0ylrq7L","tennessee","strawberries","strawberries"
"64","R_4TkfgwyblFRPKTv","tennessee","none","none"
"65","R_32YfhUkmJ6AOIdo","tennessee","potatoes","potatoes"
"66","R_Ti621EmBIhiAvDP","missouri","rice","rice"
"67","R_3KUPcjMWl3InLHF","missouri","corn","corn"
"68","R_3KUPcjMWl3InLHF","missouri","poultry","poultry"
"69","R_2uTGYdaNlXsVefe","arkansas","none","none"
"70","R_3eeiMjLI3QW7lHA","arkansas","friedokra","friedokra"
"71","R_3eeiMjLI3QW7lHA","arkansas","friedsquash","friedsquash"
"72","R_1kYVgLEmx95i0gc","tennessee","soybeans","soybeans"
"73","R_1NafWJ2UWabVwcj","mississippi","seafood","fish"
"74","R_Uokc2z69WQuLGNj","mississippi","corn","corn"
"75","R_2Wxp7s6cd2Yps1l","louisiana","rice","rice sugarcane cotton"
"76","R_2Wxp7s6cd2Yps1l","louisiana","sugarcane","rice sugarcane cotton"
"77","R_2Wxp7s6cd2Yps1l","louisiana","cotton","rice sugarcane cotton"
"78","R_26hxFyKkuIWHoFS","arkansas","soybeans","soybeans"
"79","R_3g6ZXAakiJzHQfd","arkansas","corn","corn"
"80","R_24tH7k56GFxsEfz","mississippi","peaches","peaches"
"81","R_3PgZ2aWXGTaImBT","mississippi","cotton","cotton"
"82","R_3PgZ2aWXGTaImBT","mississippi","soybeans","soybeans"
