duration,ResponseId,Q2,Q3_1,Q4_1,Q5_1,Q6_1,Q7_1,Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q10_10,Q10_11,Q11,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q12_11,Q12_12,Q12_13,Q12_14,Q12_15,Q13,Q14,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q15_10,Q15_11,Q15_12,Q15_13,Q15_14,Q15_15,Q16,Q17,Q18_5,Q21
198,R_1B9EzKLPa3JzbTD,Virginia,2.5,0.75,0.5,0.3,0.15,Strongly agree,4,4,3,3,4,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Flood prone ,Alabama,Arkansas,,,,,,Louisiana,,Mississippi,,,,,,65 - 74,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$30,000 - $39,999",56,Supermarket
168,R_5OFcC0R3hnmNjix,Washington,5.5,2.25,2.25,1,0.4,Strongly agree,4,4,5,5,5,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,I don't know.,Locally grown is superior.,Locally grown is superior.,Wet muddy,Alabama,,,,,,,Louisiana,,Mississippi,,,,,,45 - 54,Female,White,,,,,,,,Korean,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","Less than $10,000",62,Supermarket
197,R_6r0AlNGsGJmhFK1,Georgia,4,1.25,1.5,0.6,0.25,Strongly agree,5,3,2,2,4,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,They are about the same.,They are about the same.,They are about the same.,Locally grown is inferior,Locally grown is superior.,Locally grown is inferior,Locally grown is inferior,They are about the same.,around water,,,,,,,,,,Mississippi,,,,,,25 - 34,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$100,000 - $149,999",200,Supermarket
273,R_5SM05NYJaCXs7yp,Florida,4.25,1.25,1.75,0.7,0.25,Strongly agree,5,5,5,3,5,Locally grown is superior.,Locally grown is superior.,They are about the same.,Locally grown is superior.,They are about the same.,They are about the same.,Locally grown is superior.,I don't know.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,On the Mississippi River,,,,,,,,,,Mississippi,,,,,,75 - 84,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$60,000 - $69,999",100,Supermarket
107,R_74hOcSUu7rm3gDU,Colorado,5.5,0.75,1,0.5,0.45,Strongly agree,4,2,4,5,5,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,SOUTHERN AND RICH WITH HERITAGE,Alabama,,,Indiana,Iowa,,Kentucky,Louisiana,Minnesota,Mississippi,,Ohio,,Tennessee,,25 - 34,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","More than $150,000",200,Supermarket
237,R_6XaO4pMcK8PwvP4,Pennsylvania,3,1.25,1.75,0.7,0.25,Somewhat agree,3,5,4,3,5,They are about the same.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,I don't know.,I don't know.,They are about the same.,I don't know.,I don't know.,Southern area ,,Arkansas,,,,,,,,Mississippi,,,,,,65 - 74,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$10,000 - $19,999",65,Supermarket
403,R_3fdwgUR1ZHbnwnV,Alabama,4,1,1.5,0.6,0.35,Somewhat agree,4,3,3,2,5,They are about the same.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,They are about the same.,Locally grown is inferior,They are about the same.,They are about the same.,I don't know.,Locally grown is superior.,Mississippi River near land where crops are grown,Alabama,,Illinois,,,,Kentucky,Louisiana,,Mississippi,,,,Tennessee,,55 - 64,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$10,000 - $19,999",64,Supermarket
138,R_6dMoJ7bUPTLFB9U,Utah,4,1.25,1.25,0.6,0.25,Somewhat agree,4,3,4,4,4,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,cool,,,,,,,,,,Mississippi,,,,,,18 - 24,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$70,000 - $79,999",36,Farmers Market
324,R_623J6GBHX01mnPI,Maryland,4.5,1.25,2,0.7,0.3,Strongly agree,5,5,4,4,5,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,They are about the same.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,They are about the same.,It food basket of the nation ,Alabama,Arkansas,Illinois,,,,,,,,Missouri,,,Tennessee,,55 - 64,Male,,Black or African American,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$40,000 - $49,999",164,Farmers Market
247,R_7e2QKndrcecwX0d,Wisconsin,4,1,2,0.8,0.3,Strongly agree,5,5,3,3,5,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,They are about the same.,Locally grown is superior.,Locally grown is superior.,Locally grown is superior.,They are about the same.,They are about the same.,I don't know.,They are about the same.,Missippi river,,,,,,,,Louisiana,,Mississippi,Missouri,,,,,65 - 74,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$40,000 - $49,999",70,Supermarket
