duration,ResponseId,Q2,Q7,Q8,Q9,Q10,Q11,Q12,Q13_1,Q13_2,Q13_3,Q33_17,Q33_18,Q33_19,Q33_20,Q33_21,Q33_22,Q33_23,Q33_24,Q33_25,Q33_26,Q33_27,Q33_28,Q33_29,Q33_30,Q15,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_7_TEXT,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q18_6_TEXT,Q20_1,Q21_1,Q21_2,Q21_3,Q21_4,Q21_5,Q21_6,Q22,Q23,Q24_1,Q24_2,Q24_3,Q24_4,Q24_5,Q24_6,Q24_7,Q24_8,Q24_9,Q24_10,Q24_11,Q24_12,Q24_13,Q24_14,Q24_15,Q25,Q26,Q27_1,Q28,Q29_5,Q29_6,Q30_4,Q30_5,Q30_6,Q30_7,Q30_8,Q30_9,Q30_10,Q30_11,Q30_12,Q30_13,Q30_14,Q31
247,R_2Qn66Rf2YF9MAs8,Missouri,,,,Corn,Corn, Corn,Disagree,Disagree,Disagree,,,,,,,,,,,,,,None of the above,"No, I have never heard of this before.",,,,,,,Other (Please Specify),None,Not Concerned at all,,,,,,Other (Please Specify),None,7,Neutral,Trust,Trust,Neutral,Strongly Distrust,Distrust,35 - 44,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$10,000 - $19,999",4,Not religious,81,51,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,,Discount store (e.g. Dollar Store; Aldi),,,,,,,"Supermarket and grocery (e.g. Safeway, City Market, Albertsons)"
263,R_3LbzMX3EO9BSfNl,Missouri,,,,Corn,Corn, Corn,Neutral,Neutral,Neutral,,,,,,,,,,,,,,None of the above,"No, I have never heard of this before.",,News/Media,,,,,,,Neutral,Using insect repellent when outdoors,Wearing long sleeves and pants when in wooded or grassy areas,Checking for ticks after spending time outdoors,Avoiding areas known for a high presence of Lone Star ticks,,,,5,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,45 - 54,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$20,000 - $29,999",2,Protestant,76,40,"Supercenter and wholesale (e.g. Walmart, Costco)",,,,Discount store (e.g. Dollar Store; Aldi),,,,,,,Discount store (e.g. Dollar Store; Aldi)
230,R_1GMMU4bh5cbScgN,Arkansas,,,,Rice and beans,Rice and soy beans, Corn ,Strongly Agree,Strongly Agree,Agree,,Blackberries,,,,,Persimmons,,,"Wild Greens (including dandelion greens, sorrel, and lamb's quarters, etc)",,,,,"No, but I had heard about a tick bite that makes you allergic to red meat.",,News/Media,,Social Media,,,,,Somewhat Concerned,Using insect repellent when outdoors,,Checking for ticks after spending time outdoors,Avoiding areas known for a high presence of Lone Star ticks,,,,7,Trust,Trust,Neutral,Trust,Neutral,Neutral,25 - 34,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$10,000 - $19,999",8,None of the above or other,250,20,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,"Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)",Discount store (e.g. Dollar Store; Aldi),,,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)"
231,R_DbZK5EW9Yye8oWR,Missouri,,,,?,?,?,Neutral,Neutral,Neutral,,,,,,,,,,,,,,None of the above,"No, I have never heard of this before.",,,,,,Friends or Family,,,Not Very Concerned,,Wearing long sleeves and pants when in wooded or grassy areas,,,,,,2,Trust,Trust,Neutral,Distrust,Neutral,Distrust,35 - 44,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$90,000 - $99,999",2,Not religious,102,9,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,,,,,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)"
437,R_1Dvdn1VTNE3AMhT,Mississippi,,Winston,,Corn,Corn and soy beans ,A variety of vegetables that would give sustainability to the area.,Neutral,Neutral,Neutral,,Blackberries,,,,,,,,,,,,,"No, but I had heard about a tick bite that makes you allergic to red meat.",,,,,,Friends or Family,,,Somewhat Concerned,Using insect repellent when outdoors,,Checking for ticks after spending time outdoors,,,,,4,Distrust,Trust,Trust,Trust,Distrust,Neutral,25 - 34,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$50,000 - $59,999",5,None of the above or other,175,31,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)","Health/natural supermarket (e.g. Whole Foods, Natural Grocers)",,Discount store (e.g. Dollar Store; Aldi),"Smaller format grocery store (e.g. independent grocery store, food co-op, Trader Joe's)",Farmers market,,,,,"Smaller format grocery store (e.g. independent grocery store, food co-op, Trader Joe's)"
273,R_22PV9i2rxPQXQ1D,Arkansas,,,,Hot dogs,Hamburger ,All,Neutral,Neutral,Neutral,Pecans,,,,,,,,,,,,,,"Yes, I had heard of Alpha-gal syndrome.",,News/Media,,,,,,,Somewhat Concerned,Using insect repellent when outdoors,,,,,,,4,Strongly Distrust,Distrust,Neutral,Neutral,Neutral,Neutral,45 - 54,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$20,000 - $29,999",1,Not religious,122,74,"Supercenter and wholesale (e.g. Walmart, Costco)",,,"Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)",Discount store (e.g. Dollar Store; Aldi),,,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)"
170,R_TemImzNtBudehwt,Tennessee,,,White,corn soybeans,idk,all,Agree,Agree,Neutral,,Blackberries,,Muscadine Grapes,,,,Mushrooms,,,,,,,"No, I have never heard of this before.",,,,,,,Other (Please Specify),none,Not Concerned at all,,,,,,Other (Please Specify),none,1,Distrust,Neutral,Neutral,Neutral,Strongly Distrust,Distrust,55 - 64,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$30,000 - $39,999",4,Not religious,97,19,"Supercenter and wholesale (e.g. Walmart, Costco)","Supermarket and grocery (e.g. Safeway, City Market, Albertsons)",,,,,,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)"
244,R_eJyzlfQ0zIjfZPX,Mississippi,,Jackson,,Okra,Not sure,All,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,,None of the above,"No, I have never heard of this before.",,,,,,,Other (Please Specify),,Not Concerned at all,,,,,,Other (Please Specify),None,5,Strongly Trust,Neutral,Neutral,Neutral,Distrust,Strongly Trust,35 - 44,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","Less than $10,000",2,Not religious,250,4,"Supercenter and wholesale (e.g. Walmart, Costco)",,,,,,,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)"
339,R_3oMJzPc5OxPThgu,Tennessee,,,Cocke,Corn,Peas,All,Strongly Agree,Strongly Agree,Strongly Agree,,,,,,,,,,,,,,None of the above,"No, I have never heard of this before.",,,,Social Media,,,,,Not Very Concerned,Using insect repellent when outdoors,,,,,,,2,Neutral,Strongly Trust,Neutral,Strongly Trust,Neutral,Neutral,35 - 44,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$50,000 - $59,999",4,None of the above or other,250,250,"Supercenter and wholesale (e.g. Walmart, Costco)",,,"Convenience store/corner store (smaller stores with limited selection, e.g. Seven-Eleven)",Discount store (e.g. Dollar Store; Aldi),"Smaller format grocery store (e.g. independent grocery store, food co-op, Trader Joe's)",Farmers market,,,,,Farmers market
222,R_1BRXZgsH6Z4mklM,Arkansas,,,,Watermelons,Tomatoes ,All,Strongly Agree,Agree,Neutral,Pecans,Blackberries,,,,,,,,,,,,,"No, but I had heard about a tick bite that makes you allergic to red meat.",,,,Social Media,,,,,Somewhat Concerned,Using insect repellent when outdoors,Wearing long sleeves and pants when in wooded or grassy areas,,Avoiding areas known for a high presence of Lone Star ticks,,,,0,Strongly Distrust,Neutral,Neutral,Trust,Distrust,Distrust,35 - 44,Male,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$30,000 - $39,999",2,None of the above or other,101,30,"Supercenter and wholesale (e.g. Walmart, Costco)",,,,,,,,,,,"Supercenter and wholesale (e.g. Walmart, Costco)"
