duration,ResponseId,state,Q39_First Click,Q39_Last Click,Q39_Page Submit,Q39_Click Count,delta_timer_First Click,delta_timer_Last Click,delta_timer_Page Submit,delta_timer_Click Count,black_timer_First Click,black_timer_Last Click,black_timer_Page Submit,black_timer_Click Count,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q58,Q59,Q24 w attn check_1,Q24 w attn check_2,Q24 w attn check_3,Q24 w attn check_4,Q24 w attn check_5,Q102_1,Q102_2,Q102_3,Q102_4,Q102_5,Q102_6,Q102_7,Q83,Q84,Q85,Q86,Q87,Q88,Q89,Q13,Q14,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_8,Q15_9,Q15_10,Q15_11,Q15_12,Q15_13,Q15_14,Q15_15,Q16,Q17,Q18,Q21,Q93,corn_l,corn_h,melon_l,melon_h,maters_l,maters_h,rice_l,rice_h,taters_l,taters_h,corn_low,corn_high,melon_low,melon_high,maters_low,maters_high,rice_low,rice_high,taters_low,taters_high,full_launch,gc,term,target_state,black,attention
395,R_1LddAN6im3pOUvf,Kentucky,8.884,8.884,9.607,1,0,0,20.779,0,,,,,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,People outside of your race in your local community,6-10%,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Locally grown,,,Price,,,Widely available/ convenient,Not very responsible,Slightly influences,Slightly familiar,Not important at all,"Yes, I understand the difference",Not important at all,Not important at all,35 - 44,Male,,Black or African American,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$20,000 - $29,999",150,Supermarket,Slightly Conservative,28,43,421,614,88,121,144,224,80,111,0.28,0.43,4.21,6.14,0.88,1.21,1.44,2.24,0.8,1.11,,,,,0,1
479,R_52WtulvqMpQyvUf,Arkansas,0,0,14.227,0,,,,,0,0,69.427,0,Agree,Agree,Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Strongly Agree,People outside of your race in your local community,6-10%,Strongly Agree,Agree,Neither Agree or Disagree,Strongly Agree,Neither Agree or Disagree,,,,Price,Healthiness,,Widely available/ convenient,Not very responsible,Greatly influences,Very familar,Not very important,"Yes, I understand the difference",Very important,Neutral,55 - 64,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","Less than $10,000",40,Direct from a Producer,Neutral,29,37,368,551,78,110,131,195,75,128,0.29,0.37,3.68,5.51,0.78,1.1,1.31,1.95,0.75,1.28,,,,,1,1
463,R_3F3Yyi4HEUoNqxA,Mississippi,0,0,7.591,0,,,,,50.971,114.379,115.486,6,Agree,Agree,Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Agree,People outside of your race in your local community,21-30%,Agree,Agree,Agree,Strongly Agree,Agree,Locally grown,Organically grown,Supports the local economy,,,,,Somewhat responsible,Slightly influences,Somewhat familiar,Somewhat important,"Yes, I understand the difference",Very important,Somewhat important,45 - 54,Female,,Black or African American,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$60,000 - $69,999",250,Supermarket,Neutral,25,40,363,643,88,112,123,206,85,114,0.25,0.4,3.63,6.43,0.88,1.12,1.23,2.06,0.85,1.14,,,,,1,1
329,R_5QpliojDexqLbTb,Alabama,0,0,17.358,0,0,0,29.334,0,,,,,Agree,Agree,Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Agree,People outside of your race in your local community,11-20%,Agree,Agree,Agree,Strongly Agree,Disagree,,,,Price,Healthiness,,Widely available/ convenient,Neutral,Does not influence,Not familiar at all,Not important at all,"Yes, I understand the difference",Not very important,Not very important,55 - 64,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$50,000 - $59,999",55,Supermarket,Moderately Liberal,30,38,390,642,70,118,123,198,88,111,0.3,0.38,3.9,6.42,0.7,1.18,1.23,1.98,0.88,1.11,,,,,0,1
462,R_1SIM7L4W8CfFOsp,Missouri,14.016,19.749,27.029,4,27.601,56.172,56.732,11,,,,,Agree,Strongly Agree,Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Strongly Agree,Within your race but outside of your local community,11-20%,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,,,Price,Healthiness,,Widely available/ convenient,Very responsible,Slightly influences,Somewhat familiar,Somewhat important,"Yes, I understand the difference",Very important,Somewhat important,25 - 34,Male,,Black or African American,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$10,000 - $19,999",120,Supermarket,Moderately Liberal,27,37,368,596,88,122,124,222,70,127,0.27,0.37,3.68,5.96,0.88,1.22,1.24,2.22,0.7,1.27,,,,,0,1
590,R_5uQUlIJ8JwbzpYt,Kentucky,0,0,3.765,0,,,,,0,0,143.939,0,Strongly Agree,Strongly Agree,Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Strongly Agree,People outside of your race in your local community,6-10%,Agree,Agree,Agree,Strongly Agree,Agree,,,,Price,Healthiness,,Widely available/ convenient,Somewhat responsible,Slightly influences,Somewhat familiar,Somewhat important,"Yes, but I'm unsure of the difference",Somewhat important,Somewhat important,35 - 44,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$40,000 - $49,999",200,Supermarket,Moderately Liberal,28,43,447,558,82,111,125,221,86,130,0.28,0.43,4.47,5.58,0.82,1.11,1.25,2.21,0.86,1.3,,,,,1,1
614,R_5U9HeKZbywecS3W,Kentucky,0,0,62.616,0,,,,,6.536,83.425,84.404,4,Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Agree,People outside of your race in your local community,0-5%,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Locally grown,,Supports the local economy,Price,,,,Somewhat responsible,Somewhat influences,Somewhat familiar,Somewhat important,"Yes, I understand the difference",Somewhat important,Somewhat important,55 - 64,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$50,000 - $59,999",125,Farmers Market,Slightly Conservative,27,43,420,625,88,121,146,202,73,113,0.27,0.43,4.2,6.25,0.88,1.21,1.46,2.02,0.73,1.13,,,,,1,1
427,R_6L6OiS0KxEZRO9P,Tennessee,3.506,9.092,12.06,6,3.918,26.374,28.201,11,,,,,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Agree,People outside of your race in your local community,6-10%,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Locally grown,Organically grown,Supports the local economy,,,,,Very responsible,Slightly influences,Very familar,Very important,"Yes, I understand the difference",Very important,Very important,55 - 64,Female,White,,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$40,000 - $49,999",300,Farmers Market,Extremely Conservative,26,40,352,578,78,130,152,212,71,116,0.26,0.4,3.52,5.78,0.78,1.3,1.52,2.12,0.71,1.16,,,,,0,1
369,R_6qjSlYbn9AbTkbX,Mississippi,0,0,27.001,0,0,0,21.96,0,,,,,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Within your race but outside of your local community,More than 50%,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Locally grown,,Supports the local economy,,,,Widely available/ convenient,Very responsible,Greatly influences,Very familar,Very important,"No, I believe they are the same",Very important,Very important,25 - 34,Female,,Black or African American,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$100,000 - $149,999",40,Farmers Market,Moderately Liberal,30,43,366,637,71,114,144,200,77,113,0.3,0.43,3.66,6.37,0.71,1.14,1.44,2,0.77,1.13,,,,,0,1
686,R_7LYf7H0bvVM6TBL,Tennessee,0,0,58.432,0,,,,,0,0,76.585,0,Agree,Agree,Disagree,Agree,Agree,Agree,Within your race but outside of your local community,21-30%,Neither Agree or Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Locally grown,,,Price,Healthiness,,,Very responsible,Greatly influences,Very familar,Very important,"Yes, I understand the difference",Very important,Very important,55 - 64,Female,,Black or African American,,,,,,,,,,,,,,"No, not of Hispanic, Latino, or Spanish origin","$20,000 - $29,999",200,Supermarket,Extremely Conservative,26,40,406,595,83,122,144,203,75,112,0.26,0.4,4.06,5.95,0.83,1.22,1.44,2.03,0.75,1.12,,,,,1,1
