ResponseId,LocationLatitude,LocationLongitude,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q1,state,Q39_First Click,Q39_Last Click,Q39_Page Submit,Q39_Click Count,delta_timer_First Click,delta_timer_Last Click,delta_timer_Page Submit,delta_timer_Click Count,cornd,cornd_high,cornd_low,melond,melond_high,melond_low,taterd,taterd_high,taterd_low,riced,riced_high,riced_low,materd,materd_high,materd_low,black_timer_First Click,black_timer_Last Click,black_timer_Page Submit,black_timer_Click Count,melonb,melonb_high,melonb_low,cornb,cornb_high,cornb_low,taterb,taterb_high,taterb_low,riceb,riceb_high,riceb_low,materb,materb_high ,materb_low ,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q58,Q59,Q24 w attn check_1,Q24 w attn check_2,Q24 w attn check_3,Q24 w attn check_4,Q24 w attn check_5,Q102,Q83,Q84,Q85,Q86,Q87,Q88,Q89,Q13,Q14,Q15,Q16,Q17,Q18,Q21,Q93,corn_l,corn_h,melon_l,melon_h,mater_l,mater_h,rice_l,rice_h,tater_l,tater_h,corn_low,corn_high,melon_low,melon_high,mater_low,mater_high,rice_low,rice_high,tater_low,tater_high,PROLIFIC_PID,STUDY_ID,full_launch,gc,term,target_state,black,attention
R_5QDjcLRLO7Ur5oZ,33.7838,-84.4455,1,,1,19,0,0,7.249,0,,,,,,,,,,,,,,,,,,,,11.9,26.8,46.641,5,2,1,,2,1,,2,1,,2,1,,2,1,,4,5,2,3,3,5,1,2,4,4,4,5,3,"4,5,6",3,2,3,6,2,2,1,2,2,1,1,7,100,1,4,30,37,386,640,72,125,143,224,89,130,0.3,0.37,3.86,6.4,0.72,1.25,1.43,2.24,0.89,1.3,663ab8a4d5bff4596f9a9de7,SixStateSample,1,,,1,1,1
R_6IyMG6MdjYUke6F,37.9227,-83.261,1,,1,18,0,0,11.275,0,,,,,,,,,,,,,,,,,,,,0,0,25.192,0,2,1,,2,2,,2,2,,2,1,,2,2,,4,4,2,5,5,5,2,3,5,5,5,5,5,"1,2,4",2,4,3,3,2,1,2,4,2,1,1,4,75,1,1,29,39,440,629,76,130,152,221,80,125,0.29,0.39,4.4,6.29,0.76,1.3,1.52,2.21,0.8,1.25,5fde79586576595c57b61fc8,SixStateSample,1,,,1,1,1
R_7sVSRw9SwiBk58t,41.7697,-87.6985,1,TRUE,1,4,0,0,13.958,0,0,0,24.863,0,2,2,,2,2,,2,1,,2,1,,2,2,,,,,,,,,,,,,,,,,,,,,4,4,2,3,3,3,1,1,4,4,4,5,4,"4,5,7",3,4,3,6,1,2,2,6,2,1,1,1,40,5,4,28,38,390,558,73,123,157,211,75,118,0.28,0.38,3.9,5.58,0.73,1.23,1.57,2.11,0.75,1.18,5e07a0898dffa00ff1aaf60f,SixStateSample,1,,,1,0,1
R_1fpbtUTz95djWcR,35.9235,-88.7713,1,,1,44,0.984,29.039,32.237,2,1.205,1.205,14.252,1,2,2,,2,2,,2,2,,2,2,,2,2,,,,,,,,,,,,,,,,,,,,,5,5,2,5,5,5,1,7,5,5,5,5,5,"1,2,3",3,3,3,6,4,3,3,3,2,1,2,11,100,1,5,25,40,404,570,71,117,132,195,88,111,0.25,0.4,4.04,5.7,0.71,1.17,1.32,1.95,0.88,1.11,5c2c189b867f660001af5dc5,SixStateSample,1,,,1,0,1
R_7m9QVnNTD9ZKXeG,31.1046,-91.2996,1,,1,25,7.383,7.383,15.725,1,3.829,14.71,16.03,7,2,1,,2,1,,2,2,,2,1,,2,1,,,,,,,,,,,,,,,,,,,,,4,4,2,3,3,4,2,2,4,4,3,5,3,"3,4,7",3,4,4,5,1,3,5,5,1,1,1,12,300,1,4,29,43,372,649,83,130,157,219,74,115,0.29,0.43,3.72,6.49,0.83,1.3,1.57,2.19,0.74,1.15,66e60d5679cda3a829bbee24,SixStateSample,1,,,1,0,1
R_5rBnHtvtbgJmMH7,29.8875,-90.0337,1,,1,19,0.833,4.87,10.946,2,,,,,,,,,,,,,,,,,,,,1.2,21.004,33.973,8,2,1,,2,1,,2,1,,2,1,,2,1,,4,4,2,5,5,5,1,1,5,5,4,5,3,"1,4,5",3,4,4,6,3,2,3,5,2,1,1,6,200,1,6,27,41,355,636,75,125,139,216,75,122,0.27,0.41,3.55,6.36,0.75,1.25,1.39,2.16,0.75,1.22,5ec00f62cf12be40ea6fe344,SixStateSample,1,,,1,1,1
R_6rIAbFMBPXJb14p,38.2206,-90.3959,1,,1,26,0,0,48.255,0,20.361,20.361,46.301,1,1,,2,1,,2,1,,2,1,,2,1,,2,,,,,,,,,,,,,,,,,,,,4,4,2,2,2,4,2,7,4,4,4,5,2,"4,5,7",2,2,2,3,1,1,4,3,2,1,1,4,25,1,1,29,42,428,627,84,125,141,215,79,121,0.29,0.42,4.28,6.27,0.84,1.25,1.41,2.15,0.79,1.21,60a1e1f4a3707c983a98f185,SixStateSample,1,,,1,0,1
R_3InybGiHSvdZHk5,38.4321,-90.3896,1,,1,26,3.06,3.06,4.693,1,0,0,12,0,2,2,,2,2,,2,2,,2,2,,2,2,,,,,,,,,,,,,,,,,,,,,4,5,2,3,4,4,2,7,4,4,4,5,3,"1,4,5",5,4,3,5,1,5,5,3,2,1,2,6,200,1,4,27,43,360,595,87,112,153,218,86,123,0.27,0.43,3.6,5.95,0.87,1.12,1.53,2.18,0.86,1.23,62e02660c3ef175825ab7655,SixStateSample,1,,,1,0,1
R_1jrIAxmmSafNHST,29.8875,-90.0337,1,,1,25,5.355,5.355,12.995,1,8.896,8.896,21.084,1,2,2,,2,2,,2,2,,2,2,,2,2,,,,,,,,,,,,,,,,,,,,,5,5,2,5,5,5,1,1,5,5,5,5,5,"1,2,3",2,2,2,3,3,1,1,6,2,1,1,11,200,1,5,30,37,443,632,72,123,148,209,77,113,0.3,0.37,4.43,6.32,0.72,1.23,1.48,2.09,0.77,1.13,62a099bb01ad779df1971ea4,SixStateSample,1,,,1,0,1
R_3cc3cb7fgAVwwq1,36.3999,-82.4549,1,TRUE,1,44,0,0,23.195,0,,,,,,,,,,,,,,,,,,,,10.467,81.425,90.193,9,2,2,,2,2,,2,2,,2,2,,2,2,,5,4,2,3,4,5,1,1,5,5,5,5,4,"3,4,7",2,3,1,3,1,1,2,3,1,1,1,7,200,1,2,30,42,353,613,87,120,150,219,83,124,0.3,0.42,3.53,6.13,0.87,1.2,1.5,2.19,0.83,1.24,5591cd21fdf99b63126f6c60,SixStateSample,1,,,1,1,1
