"Product","Treatment","Mean WTP ($)","SE","95% CI Lower","95% CI Upper","% Premium","LR Chi-sq","LR df","LR p-value"," "
"Corn","black",0.447,0.014,0.42,0.474,35.45,43.378,1,0,"***"
"Corn","delta",0.438,0.018,0.403,0.473,32.73,27.657,1,0,"***"
"Mater","black",1.238,0.019,1.201,1.275,23.8,96.877,1,0,"***"
"Mater","delta",1.198,0.02,1.159,1.237,19.8,80.018,1,0,"***"
"Melon","black",5.857,0.058,5.743,5.971,17.14,162.962,1,0,"***"
"Melon","delta",5.69,0.064,5.565,5.815,13.8,133.961,1,0,"***"
"Rice","black",2.05,0.019,2.013,2.087,17.14,181.525,1,0,"***"
"Rice","delta",1.988,0.023,1.943,2.033,13.6,122.584,1,0,"***"
"Tater","black",1.247,0.019,1.21,1.284,24.7,104.133,1,0,"***"
"Tater","delta",1.183,0.019,1.146,1.22,18.3,83.341,1,0,"***"
