"respondent_id","info_treatment","target_state","black","mean_wtp","pct_premium"
"R_100kM99kEXU61aN","delta",0,0,1.9,0.15
"R_107676zmq1oFVvR","black",0,1,1.949,6.7
"R_10RoZLxADaSzTwJ","delta",1,0,2.01,11.83
"R_10gPp2tyrzFeuHL","delta",1,0,2.023,12.21
"R_10quEFzLCAoH930","delta",1,0,1.837,10.51
"R_10xs9M5wzSBNYsv","delta",1,0,2.214,15.94
"R_115X4doEolcrxe3","black",1,1,2.206,20.42
"R_117NA2AXK7KR2ad","delta",1,0,1.995,8.91
"R_11GceXMn0QJtrLz","delta",0,0,2.036,16.55
"R_11KlUJe4IiBFd2p","black",0,1,2.188,19.34
"R_11aBelcEzxoyACd","black",1,1,1.958,9.44
"R_11gWQtIlgFhpoWr","delta",1,0,2.032,12.44
"R_11jPqfklr8Aqfro","delta",1,0,0.869,-82.62
"R_11tOXR2Cndb9QC5","black",1,1,2.148,18.01
"R_11uZ8I4S0Vifsd5","delta",0,0,1.957,8.31
"R_12S6UfQOW79raKI","delta",0,0,1.796,3.79
"R_138AOegzvQ9Lcgy","delta",1,0,1.936,6.74
"R_13Kr2xF9rU5rOBr","black",1,1,2.007,12.7
"R_13Uhux3qbpMnYfc","black",1,1,1.895,7.13
"R_13frgigVDQqD68Z","black",0,1,1.963,10.2
"R_13mR1YPUOGaCdfb","black",1,1,1.944,7.15
"R_14D7WJ0FMRT9jIm","black",0,1,1.981,8.71
"R_14TI4N03i7Ty2xb","delta",1,0,2.046,14.1
"R_14p9PPe3lChgzD3","delta",1,0,1.408,-18.18
"R_15D0RSLzRXZFiut","delta",1,0,1.944,8.36
"R_15SItFtGYiZbR46","black",0,1,1.985,8.26
"R_15X6nivfpCJumRt","black",1,1,2.021,12.15
"R_16mcL6qfWNrSqTl","delta",0,0,2.086,17.41
"R_16qYBvYpuIgMsxz","delta",1,0,1.735,-15.35
"R_17J7rl1GwGmR4RM","black",1,1,2.285,21.94
"R_17lNyzKjxfJFOdM","delta",1,0,2.009,12
"R_18Exw6qjLv7HhIJ","black",1,1,2.035,12.3
"R_18FY2PSaYV7wk9z","delta",0,0,2.01,11.97
"R_19hTfxn6BYDGUDy","delta",1,0,2.176,20.06
"R_19yvMQTPqSop06B","delta",1,0,2.014,11.4
"R_1A06tKD02m5C2rv","black",0,1,2.057,11.93
"R_1AHL3gltMG8Mrkd","delta",0,0,2.092,13.93
"R_1CAVRP7VFRsSryO","delta",0,0,1.793,-17.13
"R_1CBaIFowYrQWdXO","black",1,1,1.923,16.84
"R_1CEzcYeNH3InuY1","delta",0,0,1.674,-7.98
"R_1CZGl5ACUyN15r7","delta",0,0,2.056,12.31
"R_1CdGH7Lt6PVKCd8","black",1,1,2.113,17.6
"R_1CwJkE8GZFz2agt","delta",1,0,1.972,10.83
"R_1D7L9atNFzuq8p9","delta",0,0,1.976,5.26
"R_1DM38F3vo8dJCVD","black",0,1,2.028,10.69
"R_1DOgH7wVqDLBXjz","delta",1,0,2.124,23.2
"R_1DuKJfcksh6jSvF","delta",0,0,2.067,15.71
"R_1DwNCFTOVKR73Dh","black",1,1,1.981,12.05
"R_1E1euv0TlYjcNQ9","delta",0,0,2.1,20.16
"R_1E1iYf9GuTUgQ0x","delta",0,0,1.993,8.25
"R_1EEFsoClcc25BwW","black",1,1,2.164,17.04
"R_1EFZm2gLJXqhvGb","black",1,1,1.971,9.35
"R_1EQlfhWNzLKZIuO","delta",1,0,2.004,12.49
"R_1EjccHOA61aABL3","black",0,1,1.941,8.98
