"Product","Group","Mean WTP ($)","SE","95% CI Lower","95% CI Upper","% Premium","LR Chi-sq","LR df","LR p-value"," "
"Corn","Black | Delta Region",0.674,0.526,-0.357,1.705,104.24,0.395,1,0.5297,""
"Corn","Black | Non-Delta Region",0.514,0.089,0.34,0.688,55.76,3.411,1,0.0648,"*"
"Corn","Non-Black | Delta Region",0.429,0.013,0.404,0.454,30,43.934,1,0,"***"
"Corn","Non-Black | Non-Delta Region",0.44,0.019,0.403,0.477,33.33,25.573,1,0,"***"
"Mater","Black | Delta Region",1.891,1.001,-0.071,3.853,89.1,0.722,1,0.3955,""
"Mater","Black | Non-Delta Region",1.348,0.091,1.17,1.526,34.8,10.418,1,0.0012,"***"
"Mater","Non-Black | Delta Region",1.19,0.015,1.161,1.219,19,116.57,1,0,"***"
"Mater","Non-Black | Non-Delta Region",1.2,0.021,1.159,1.241,20,64.138,1,0,"***"
"Melon","Black | Delta Region",6.708,0.541,5.648,7.768,34.16,7.487,1,0.0062,"***"
"Melon","Black | Non-Delta Region",6.075,0.209,5.665,6.485,21.5,20.053,1,0,"***"
"Melon","Non-Black | Delta Region",5.727,0.058,5.613,5.841,14.54,151.091,1,0,"***"
"Melon","Non-Black | Non-Delta Region",5.653,0.061,5.533,5.773,13.06,124.582,1,0,"***"
"Rice","Black | Delta Region",2.264,0.165,1.941,2.587,29.37,7.472,1,0.0063,"***"
"Rice","Black | Non-Delta Region",2.217,0.111,1.999,2.435,26.69,12.922,1,3e-04,"***"
"Rice","Non-Black | Delta Region",1.986,0.019,1.949,2.023,13.49,176.33,1,0,"***"
"Rice","Non-Black | Non-Delta Region",1.997,0.023,1.952,2.042,14.11,114.113,1,0,"***"
"Tater","Black | Delta Region",1.41,0.162,1.092,1.728,41,4.891,1,0.027,"**"
"Tater","Black | Non-Delta Region",1.31,0.064,1.185,1.435,31,15.575,1,1e-04,"***"
"Tater","Non-Black | Delta Region",1.189,0.016,1.158,1.22,18.9,111.65,1,0,"***"
"Tater","Non-Black | Non-Delta Region",1.215,0.026,1.164,1.266,21.5,51.623,1,0,"***"
