"Product","Region","Mean WTP ($)","SE","95% CI Lower","95% CI Upper","% Premium","LR Chi-sq","LR df","LR p-value"," "
"Corn","Delta Region",0.44,0.015,0.411,0.469,33.33,37.9,1,0,"***"
"Corn","Non-Delta Region",0.454,0.02,0.415,0.493,37.58,27.58,1,0,"***"
"Mater","Delta Region",1.214,0.018,1.179,1.249,21.4,98.835,1,0,"***"
"Mater","Non-Delta Region",1.231,0.023,1.186,1.276,23.1,72.377,1,0,"***"
"Melon","Delta Region",5.821,0.062,5.699,5.943,16.42,151.154,1,0,"***"
"Melon","Non-Delta Region",5.742,0.061,5.622,5.862,14.84,139.038,1,0,"***"
"Pooled (Avg of Products)","Delta Region",2.139,0.026,2.087,2.19,21.36,114.91,1,0,""
"Pooled (Avg of Products)","Non-Delta Region",2.141,0.031,2.081,2.202,23.23,84.712,1,0,""
"Rice","Delta Region",2.01,0.019,1.973,2.047,14.86,174.863,1,0,"***"
"Rice","Non-Delta Region",2.039,0.025,1.99,2.088,16.51,117.93,1,0,"***"
"Tater","Delta Region",1.208,0.017,1.175,1.241,20.8,111.799,1,0,"***"
"Tater","Non-Delta Region",1.241,0.025,1.192,1.29,24.1,66.637,1,0,"***"
