"Treatment","Product","Comparison","LL (Restricted)","LL (Unrestricted)","LR Chi-sq","df","p-value"," "
"black","Corn","Delta Region vs. Non-Delta Region",-488.911,-483.771,10.281,2,0.0059,"***"
"black","Mater","Delta Region vs. Non-Delta Region",-499.812,-496.999,5.626,2,0.06,"*"
"black","Melon","Delta Region vs. Non-Delta Region",-500.765,-496.302,8.925,2,0.0115,"**"
"black","Rice","Delta Region vs. Non-Delta Region",-494.732,-491.305,6.853,2,0.0325,"**"
"black","Tater","Delta Region vs. Non-Delta Region",-480.335,-476.538,7.593,2,0.0224,"**"
"delta","Corn","Delta Region vs. Non-Delta Region",-560.119,-557.423,5.392,2,0.0675,"*"
"delta","Mater","Delta Region vs. Non-Delta Region",-546.75,-544.451,4.598,2,0.1004,""
"delta","Melon","Delta Region vs. Non-Delta Region",-541.943,-536.153,11.581,2,0.0031,"***"
"delta","Rice","Delta Region vs. Non-Delta Region",-548.482,-544.36,8.243,2,0.0162,"**"
"delta","Tater","Delta Region vs. Non-Delta Region",-553.405,-548.77,9.271,2,0.0097,"***"
